id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
238,f,15-Jun-1969,12,1,"$27,300","$11,250",81,5,0
239,f,14-Sep-1969,12,1,"$27,750","$11,225",81,5,0
240,f,15-Jun-1961,16,3,"$54,375","$18,750",81,81,0
241,f,27-Aug-1936,8,1,"$17,400","$10,200",81,390,0
242,f,3-Nov-1967,12,1,"$40,800","$18,000",81,4,0
243,f,10-Feb-1969,12,1,"$23,100","$10,950",81,0,0
244,f,15-Sep-1969,8,1,"$22,500","$10,950",81,5,0
245,f,16-Mar-1969,12,1,"$26,700","$11,550",81,18,0
246,f,14-Jan-1968,12,1,"$24,900","$11,250",81,0,0
247,f,13-May-1968,12,1,"$19,650","$10,950",81,11,0
248,f,9-Apr-1969,12,1,"$22,050","$10,950",81,9,0
249,f,9-May-1969,12,1,"$25,500","$12,000",81,11,0
250,f,10-Oct-1966,15,1,"$28,200","$12,750",81,19,0
251,f,19-Jan-1969,12,1,"$23,100","$11,250",81,13,0
252,m,18-Sep-1969,12,1,"$25,500","$11,400",81,9,1
253,f,21-Feb-1942,8,1,"$17,100","$10,200",81,0,1
254,m,8-Feb-1964,18,3,"$68,125","$32,490",80,29,0
255,m,15-Aug-1932,12,2,"$30,600","$15,750",80,460,0
256,m,3-Jan-1948,19,3,"$52,125","$27,480",80,221,0
257,m,24-Sep-1951,19,3,"$61,875","$36,750",80,199,0
258,m,9-Mar-1969,8,1,"$21,300","$11,550",80,24,0
259,f,15-Mar-1969,12,1,"$19,650","$11,250",80,5,0
260,f,20-Feb-1969,12,1,"$22,350","$11,250",80,5,0
261,f,27-Mar-1969,12,1,"$23,400","$11,250",80,18,0
262,f,20-Jun-1968,12,1,"$24,300","$10,950",80,8,0
263,f,13-Oct-1968,12,1,"$28,500","$11,250",80,4,0
264,f,16-Jan-1969,12,1,"$19,950","$11,250",80,8,0
265,f,24-Sep-1969,12,1,"$23,400","$11,250",80,0,0
266,f,7-Oct-1963,16,1,"$34,500","$17,250",80,3,0
267,f,24-Aug-1969,12,1,"$18,150","$10,950",80,0,0
268,m,16-May-1936,12,1,"$22,350","$15,000",80,272,1
269,m,17-Mar-1966,15,1,"$40,200","$17,250",79,38,0
270,m,29-Oct-1947,15,1,"$28,650","$18,000",79,261,0
271,m,24-Aug-1963,15,1,"$27,750","$16,500",79,55,0
272,m,17-Jun-1964,18,1,"$66,875","$31,980",79,30,0
273,m,12-Nov-1939,12,2,"$30,000","$15,750",79,308,0
274,m,4-Aug-1964,16,3,"$83,750","$21,750",79,12,0
275,m,14-Jan-1963,12,1,"$33,900","$16,500",79,94,0
276,m,11-May-1965,16,3,"$56,500","$21,000",79,12,0
277,f,20-May-1965,16,3,"$43,000","$17,490",79,20,0
278,f,12-Jun-1943,8,1,"$20,850","$12,000",79,70,0
279,f,16-Apr-1969,12,1,"$24,450","$12,000",79,8,0
280,f,20-Oct-1969,12,1,"$24,750","$10,950",79,5,0
281,m,18-Feb-1945,8,2,"$34,500","$15,750",79,246,1
282,m,15-Sep-1963,14,1,"$27,900","$15,000",79,47,1
283,m,25-Feb-1963,19,3,"$68,125","$32,010",78,35,0
284,m,10-Oct-1961,19,3,"$73,500","$33,000",78,45,0
285,m,28-May-1930,8,2,"$30,750","$15,750",78,429,0
286,m,7-Mar-1958,15,3,"$40,050","$25,500",78,133,0
287,m,18-Jan-1965,16,1,"$40,350","$19,500",78,20,0
288,m,22-Jan-1955,15,3,"$38,700","$23,730",78,176,0
289,m,27-Oct-1964,17,3,"$65,000","$30,750",78,26,0
290,m,5-Apr-1954,18,3,"$51,450","$36,240",78,149,0
291,m,23-Sep-1934,12,2,"$35,250","$15,750",78,387,0
292,m,7-May-1963,14,1,"$25,950","$15,000",78,53,0
293,m,19-Sep-1965,15,1,"$25,050","$14,250",78,24,0
294,m,10-Oct-1968,12,1,"$26,700","$12,750",78,25,0
295,m,20-Aug-1932,8,1,"$24,000","$15,750",78,476,0
296,m,12-Feb-1964,12,1,"$26,850","$15,000",78,48,0
297,f,16-Apr-1942,12,1,"$23,400","$15,300",78,209,0
298,f,24-Aug-1966,12,1,"$24,600","$13,500",78,47,0
299,f,11-May-1965,15,1,"$32,550","$18,000",78,6,0
300,m,26-May-1960,16,1,"$26,550","$15,000",78,105,1
301,m,4-Aug-1968,12,1,"$31,500","$13,500",78,7,1
302,m,28-Sep-1939,8,1,"$22,350","$15,000",78,320,1
303,m,10-Feb-1938,12,2,"$35,250","$15,750",78,281,1
304,f,28-Sep-1945,15,1,"$25,800","$13,500",78,51,1
305,m,25-Oct-1941,12,2,"$30,750","$15,750",77,317,0
306,m,5-Apr-1966,15,1,"$30,750","$16,500",77,41,0
307,m,24-Jul-1945,16,3,"$50,000","$32,490",77,264,0
308,m,1-Feb-1963,15,1,"$34,500","$18,000",77,63,0
309,m,19-Jul-1964,15,1,"$26,250","$15,750",77,38,0
310,m,23-Mar-1964,16,1,"$44,875","$21,240",77,22,0
311,f,15-Feb-1951,12,1,"$22,500","$12,000",77,63,0
312,f,12-Mar-1963,12,1,"$25,650","$14,250",77,64,0
313,f,25-Oct-1969,12,1,"$21,300","$11,250",77,0,0
314,f,24-Nov-1966,12,1,"$29,850","$13,500",77,38,0
315,f,19-Sep-1969,12,1,"$34,500","$12,150",77,4,0
316,m,14-Jan-1960,15,1,"$27,750","$15,000",77,52,1
317,m,27-Feb-1969,12,1,"$27,750","$11,550",77,12,1
318,m,19-Feb-1961,16,3,"$48,750","$21,990",76,61,0
319,m,2-Mar-1966,15,1,"$43,410","$15,750",76,12,0
320,m,10-Nov-1936,12,1,"$22,050","$15,000",76,385,0
321,f,26-Oct-1953,12,1,"$22,050","$12,000",76,6,0
322,f,2-Mar-1938,12,1,"$22,500","$14,250",76,90,0
323,f,13-May-1967,15,1,"$25,500","$12,000",76,7,0
324,f,14-Oct-1966,12,1,"$29,160","$15,000",76,22,0
325,f,4-Nov-1934,8,1,"$16,800","$10,200",76,76,0
326,m,24-Jul-1958,8,2,"$29,550","$15,750",76,144,1
327,m,2-Mar-1965,12,1,"$26,700","$15,750",76,18,1
328,m,25-Oct-1952,18,3,"$55,000","$32,490",75,125,0
329,m,24-Aug-1958,18,3,"$62,500","$34,980",75,74,0
330,m,9-May-1959,15,1,"$27,300","$17,250",75,132,0
331,f,4-Feb-1942,12,1,"$24,450","$12,000",75,144,0
332,f,10-May-1964,16,1,"$33,000","$18,000",75,26,0
333,f,26-Jan-1965,15,1,"$37,050","$18,000",75,5,0
334,f,9-May-1966,12,1,"$24,450","$10,950",75,32,1
335,m,26-Feb-1930,8,2,"$31,950","$15,750",74,408,0
336,m,10-Jan-1964,16,3,"$47,250","$21,240",74,45,0
337,f,27-Jan-1970,12,1,"$26,100","$11,550",74,2,0
338,f,12-Aug-1938,8,1,"$15,900","$10,200",74,43,0
339,f,7-Nov-1942,8,1,"$23,700","$10,650",74,281,0
340,f,6-May-1934,8,1,"$21,750","$12,450",74,318,0
341,m,20-Jan-1945,12,3,"$59,400","$33,750",74,272,1
342,f,1-Jun-1948,12,1,"$24,450","$14,250",74,117,1
343,m,9-Jun-1953,16,3,"$103,500","$60,000",73,150,0
344,m,13-Oct-1963,12,1,"$35,700","$16,500",73,72,0
345,f,5-May-1969,12,1,"$22,200","$16,500",73,7,0
346,f,16-Aug-1968,15,1,"$22,950","$13,950",73,22,0
347,f,10-Aug-1944,12,1,"$23,100","$12,000",73,228,0
348,f,11-Jun-1962,16,3,"$56,750","$30,000",73,15,0
349,f,22-Mar-1938,17,1,"$29,100","$12,750",73,375,0
350,f,21-Apr-1939,12,1,"$37,650","$15,750",73,132,0
351,f,27-Jan-1966,12,1,"$27,900","$13,500",73,32,0
352,f,26-Nov-1933,8,1,"$21,150","$12,000",73,159,0
353,m,10-Mar-1955,12,2,"$31,200","$15,750",73,155,1
354,f,8-May-1946,12,1,"$20,550","$11,250",73,154,1
355,m,19-May-1961,15,1,"$25,950","$17,250",72,83,0
356,m,10-Nov-1965,15,1,"$28,350","$15,000",72,48,0
357,f,18-Jan-1932,8,1,"$17,700","$10,200",72,184,0
358,f,11-Apr-1944,15,1,"$23,550","$13,500",72,49,0
359,f,12-Jun-1941,12,1,"$19,950","$10,200",72,56,0
360,f,11-Aug-1968,12,1,"$29,400","$15,300",72,30,0
361,f,9-Jun-1966,12,1,"$28,800","$13,950",72,18,0
362,f,8-Apr-1937,8,1,"$16,950","$10,200",72,319,0
363,m,3-Jun-1954,16,1,"$35,700","$18,000",72,138,1
364,f,26-Mar-1947,12,1,"$17,400","$10,200",72,116,1
365,f,16-Oct-1948,8,1,"$21,450","$10,200",72,194,1
366,f,21-Mar-1961,12,1,"$24,750","$12,000",72,68,1
367,f,22-May-1942,12,1,"$16,950","$10,200",72,271,1
368,f,20-Jul-1943,12,1,"$26,100","$13,500",72,169,1
369,m,14-Nov-1967,14,1,"$28,050","$15,000",71,15,0
370,f,20-Jan-1963,16,1,"$36,600","$18,000",71,12,0
371,f,5-Apr-1966,16,3,"$58,125","$18,000",71,11,0
372,m,22-Aug-1935,15,1,"$21,300","$15,750",70,372,0
373,m,29-Oct-1949,12,1,"$22,500","$16,500",70,216,0
374,m,26-Jul-1967,15,1,"$29,400","$15,750",70,15,0
375,m,8-Oct-1966,12,1,"$27,450","$14,700",70,41,0
376,m,9-Oct-1964,15,1,"$29,850","$15,750",70,48,0
377,m,29-Nov-1965,15,1,"$25,350","$15,750",70,56,0
378,f,21-Sep-1930,8,1,"$15,750","$10,200",70,275,0
379,f,12-May-1938,8,1,"$19,650","$13,050",70,102,0
380,f,22-Feb-1941,12,1,"$21,000","$13,500",70,82,0
381,m,15-Jul-1946,17,1,"$27,000","$18,000",70,192,1
382,m,20-Oct-1959,12,1,"$24,000","$15,750",70,120,1
383,m,3-Jun-1961,17,3,"$78,500","$28,740",70,67,1
384,f,11-Nov-1955,12,1,"$20,850","$13,050",70,127,1
385,m,1-Oct-1930,12,2,"$30,000","$15,750",69,348,0
386,m,18-Aug-1934,8,2,"$28,500","$15,750",69,174,0
387,m,3-Feb-1965,19,3,"$65,000","$31,980",69,74,0
388,m,2-Jan-1959,14,1,"$30,150","$16,500",69,110,0
389,m,15-Apr-1959,19,3,"$66,875","$32,490",69,81,0
390,f,9-Nov-1968,15,1,"$24,150","$13,500",69,7,0
391,f,12-Jan-1969,12,1,"$24,450","$12,450",69,12,0
392,f,12-May-1970,12,1,"$21,600","$12,000",69,0,0
393,f,24-Jun-1969,12,1,"$27,900","$12,450",69,0,0
394,f,4-Feb-1970,8,1,"$29,100","$12,450",69,17,0
395,f,9-Mar-1970,12,1,"$22,650","$11,250",69,2,0
396,f,17-Aug-1970,12,1,"$20,850","$11,250",69,0,0
397,f,17-Jan-1970,12,1,"$22,950","$12,300",69,5,0
398,f,21-Nov-1970,12,1,"$30,600","$12,450",69,5,0
399,f,6-Feb-1970,12,1,"$20,400","$11,250",69,0,0
400,f,6-Aug-1969,12,1,"$23,850","$12,750",69,20,0
401,f,14-Mar-1970,12,1,"$22,800","$11,250",69,0,0
402,f,7-Feb-1970,12,1,"$20,700","$11,250",69,2,0
403,f,28-Apr-1970,12,1,"$21,300","$11,250",69,3,1
404,f,1-May-1953,12,1,"$24,300","$15,000",69,121,1
405,f,12-Jul-1944,12,1,"$19,650","$13,950",69,133,1
406,m,5-Oct-1965,17,3,"$60,000","$32,490",68,17,0
407,m,6-Sep-1965,15,1,"$30,300","$15,750",68,55,0
408,m,12-Feb-1964,19,3,"$61,250","$33,000",68,9,0
409,m,21-Nov-1962,19,1,"$36,000","$19,500",68,21,0
410,f,9-Jan-1942,8,1,"$25,200","$18,750",68,344,0
411,f,21-Aug-1931,12,1,"$16,200","$10,200",68,180,0
412,f,16-Jun-1970,12,1,"$22,800","$11,250",68,2,0
413,f,13-Mar-1966,16,3,"$43,500","$19,500",68,11,0
414,m,8-Jan-1961,8,2,"$30,300","$15,750",68,155,1
415,m,2-May-1963,15,1,"$31,950","$15,750",68,70,1
416,m,16-Jan-1965,15,1,"$35,250","$13,500",67,6,0
417,m,22-Jul-1967,15,1,"$37,800","$15,000",67,36,0
418,m,5-Jun-1965,15,1,"$31,200","$15,750",67,46,0
419,m,20-Oct-1964,15,1,"$29,400","$16,500",67,68,0
420,m,16-Jul-1957,19,3,"$70,000","$35,040",67,75,0
421,m,1-Nov-1961,15,1,"$33,900","$15,750",67,96,0
422,m,20-Jul-1963,15,1,"$27,150","$16,500",67,78,0
423,f,26-Apr-1936,12,1,"$22,200","$13,800",67,196,0
424,f,6-Jul-1966,15,1,"$31,350","$11,100",67,47,0
425,f,26-Jan-1942,12,1,"$20,850","$13,500",67,181,0
426,m,27-Oct-1952,16,1,"$33,300","$17,490",67,120,1
427,m,21-Apr-1942,8,1,"$26,250","$16,050",67,97,1
428,m,28-Feb-1964,15,1,"$31,950","$15,750",67,58,1
429,m,13-Aug-1946,8,2,"$30,000","$15,750",67,305,1
430,m,29-Apr-1956,19,3,"$66,250","$34,980",67,99,1
431,m,15-Jan-1959,18,3,"$86,250","$45,000",66,50,0
432,m,12-Mar-1964,12,1,"$30,750","$15,000",66,56,0
433,m,15-Nov-1966,12,1,"$33,540","$15,750",66,47,0
434,m,#NULL!,16,1,"$34,950","$20,250",66,55,0
435,m,24-May-1964,15,1,"$40,350","$16,500",66,80,0
436,m,27-May-1965,12,1,"$30,270","$15,750",66,80,0
437,m,4-Sep-1933,8,1,"$26,250","$16,050",66,264,0
438,m,11-Oct-1964,15,1,"$32,400","$15,000",66,64,0
439,f,25-Jun-1970,12,1,"$20,400","$11,250",66,0,0
440,f,10-Nov-1947,8,1,"$24,150","$12,750",66,96,0
441,f,2-Aug-1949,15,1,"$23,850","$13,500",66,122,0
442,f,18-Sep-1968,12,1,"$29,700","$13,500",66,26,0
443,f,10-Feb-1929,8,1,"$21,600","$13,500",66,228,0
444,f,16-Sep-1961,12,1,"$24,450","$15,750",66,87,0
445,m,4-Aug-1963,15,1,"$28,050","$16,500",66,84,1
446,m,3-Aug-1958,16,3,"$100,000","$44,100",66,128,1
447,m,2-Jul-1961,15,1,"$49,000","$20,550",66,86,1
448,f,5-Jun-1933,12,1,"$16,350","$10,200",66,163,1
449,m,2-Jan-1966,16,3,"$70,000","$21,750",65,19,0
450,m,21-Jul-1954,19,3,"$55,000","$34,980",65,129,0
451,m,19-Jul-1969,15,1,"$28,500","$14,250",65,20,0
452,m,13-Aug-1953,12,1,"$28,800","$18,000",65,210,0
453,m,7-Aug-1930,15,1,"$24,450","$15,750",65,338,0
454,m,28-Jul-1965,19,3,"$90,625","$31,250",65,18,0
455,m,17-Jan-1964,16,3,"$43,650","$19,500",65,19,0
456,m,17-Oct-1959,19,3,"$75,000","$42,510",65,54,0
457,m,27-May-1968,15,1,"$31,650","$14,250",65,10,0
458,m,6-Jul-1965,19,3,"$61,875","$28,740",65,26,0
459,f,10-Feb-1971,12,1,"$21,750","$11,250",65,0,0
460,f,12-Aug-1969,12,1,"$22,500","$12,750",65,24,0
461,f,8-Nov-1943,8,1,"$21,600","$13,500",65,173,0
462,f,18-Oct-1963,16,3,"$34,410","$19,500",65,79,0
463,f,15-Oct-1934,15,1,"$20,700","$14,250",65,241,0
464,m,20-Mar-1962,19,3,"$47,550","$33,000",64,27,0
465,m,20-Jul-1962,12,1,"$33,900","$16,500",64,106,0
466,f,15-Jun-1948,12,1,"$23,400","$13,500",64,198,0
467,f,18-Aug-1967,16,1,"$32,850","$19,500",64,20,0
468,f,28-Nov-1965,16,3,"$55,750","$19,980",64,36,0
469,f,1-Jun-1964,15,1,"$25,200","$13,950",64,57,0
470,m,22-Jan-1964,12,1,"$26,250","$15,750",64,69,1
471,m,3-Aug-1966,15,1,"$26,400","$15,750",64,32,1
472,m,21-Feb-1966,15,1,"$39,150","$15,750",63,46,0
473,f,25-Nov-1937,12,1,"$21,450","$12,750",63,139,0
474,f,5-Nov-1968,12,1,"$29,400","$14,250",63,9,0
